case,error_sentence,correct_sentence,option_1,option_2,option_3,option_4,correct_option,topics
1,Him is from Spain but lives in France now.,He is from Spain but lives in France now.,now,but,Him,lives,3,subject pronouns
1,They are eating our pizza in their house.,They are eating their pizza in their house.,their,are,our,in,3,possessive adjectives
1,That are my friends from Brazil over there.,Those are my friends from Brazil over there.,That,my,there,friends,1,demonstratives (this/that/these/those)
1,This is the bike of my friend in the garage.,This is my friend's bike in the garage.,friend,the,bike,of,4,possessive 's
1,My keys are on my bag inside my room.,My keys are in my bag inside my room.,My,on,are,inside,2,prepositions of place
1,There is five pencils on the table today.,There are five pencils on the table today.,There,is,table,pencils,2,there is/there are
1,To close your books and listen to the teacher now.,Close your books and listen to the teacher now.,To,your,now,books,1,imperatives
1,I eat never vegetables for dinner at my house.,I never eat vegetables for dinner at my house.,for,dinner,house,never,4,adverbs of frequency
1,I can to swim very well at the big pool.,I can swim very well at the big pool.,to,I,swim,pool,1,can/can't
1,My father cook dinner every night for our family.,My father cooks dinner every night for our family.,cook,every,our,for,1,present simple tense
1,Tom wants to see they at the park after lunch.,Tom wants to see them at the park after lunch.,they,at,the,wants,1,object pronouns
1,She have got a new bicycle for her birthday today.,She has got a new bicycle for her birthday today.,have,new,today,bicycle,1,have got/has got
2,My keys are on my bag inside my room.,My keys are in my bag inside my room.,are,bag,on,keys,3,prepositions of place
2,They is my best friends from Brazil.,They are my best friends from Brazil.,is,Brazil,friends,from,1,verb to be
2,To close your books and listen to the teacher now.,Close your books and listen to the teacher now.,teacher,to,the,To,4,imperatives
2,He have got two sisters and one brother at home.,He has got two sisters and one brother at home.,have,got,at,one,1,have got/has got
2,They are eating our pizza in their house.,They are eating their pizza in their house.,They,our,are,their,2,possessive adjectives
2,He are talking on the phone with his friend now.,He is talking on the phone with his friend now.,He,his,the,are,4,present continuous tense
2,Tom wants to see they at the park after lunch.,Tom wants to see them at the park after lunch.,they,at,to,lunch,1,object pronouns
2,I eat never vegetables for dinner at my house.,I never eat vegetables for dinner at my house.,for,eat,my,never,4,adverbs of frequency
2,There are five chair in the kitchen at home.,There are five chairs in the kitchen at home.,in,chair,are,the,2,plural nouns
2,These is my favorite English book on the small shelf.,This is my favorite English book on the small shelf.,the,favorite,book,These,4,demonstratives (this/that/these/those)
