case,error_sentence,correct_sentence,option_1,option_2,option_3,option_4,correct_option,topics
1,If only I didn't forgot his birthday.,If only I hadn't forgotten his birthday.,his,forgot,only,I,2,wish/if only (regrets)
1,They denied to break the window.,They denied breaking the window.,denied,They,window,to,4,gerunds/infinitives (advanced)
1,Is John who called you last night.,It is John who called you last night.,Is,who,John,night,1,cleft sentences
1,She did go to the concert last night.,She did go to the concert last night.,to,the,go,did,3,emphasis with do/does/did
1,"London, that is the capital of England, is a big city.","London, which is the capital of England, is a big city.",big,capital,is,that,4,relative clauses (non-defining)
1,"He went to the library, and Mary went to the library too.","He went to the library, and Mary did too.",He,the,to,library,4,ellipsis/substitution
1,They will arrive before the meeting starts.,They will have arrived before the meeting starts.,before,meeting,starts,arrive,4,future perfect
1,They asked if I am coming to the meeting.,They asked if I was coming to the meeting.,They,to,meeting,am,4,reported speech (advanced)
1,"You think she will come, don't you?","You think she will come, won't she?",you,come,don't,You,3,question tags (advanced nuance)
1,The manager decide to close the shop.,The manager's decision was to close the shop.,decide,close,to,manager,1,nominalization
1,She finished her homework she went out to play.,She finished her homework before she went out to play.,out,she,finished,to,2,compound/complex sentences
1,"Bored with the movie, he was leave early.","Bored with the movie, he left early.",with,was,early,leave,4,participle clauses
2,"If we would have left earlier, we wouldn't have missed the train.","If we had left earlier, we wouldn't have missed the train.",would,If,the,wouldn't,1,third conditional
2,"By this time next year, I will finish my degree.","By this time next year, I will have finished my degree.",finish,will,next,degree,1,future perfect
2,"I went to the party, and so did my friends go.","I went to the party, and so did my friends.",my,go,went,so,2,ellipsis/substitution
2,"I like pizza, although I don't eat it often.","I like pizza, but I don't eat it often.",don't,eat,although,I,3,discourse markers
2,The house build last year is very modern.,The house built last year is very modern.,last,build,modern,The,2,passive voice (all tenses)
2,"I want to go, but I did not like the idea.","I do want to go, but I did not like the idea.",want,did,idea,go,1,emphasis with do/does/did
2,They might went to the party on Saturday.,They might have gone to the party on Saturday.,went,Saturday,the,to,1,modal verbs in the past
2,If only I didn't forgot his birthday.,If only I hadn't forgotten his birthday.,didn't,only,If,forgot,4,wish/if only (regrets)
2,"If I were taller, I would have played basketball.","If I had been taller, I would have played basketball.",I,taller,were,would,3,mixed conditionals
2,"By noon, I will work for six hours already.","By noon, I will have been working for six hours already.",six,for,work,noon,3,future perfect continuous
2,"If I was you, I would apologize.","If I were you, I would apologize.",I,was,would,you,2,subjunctive mood
2,Is my brother that helped me with my homework.,It is my brother who helped me with my homework.,me,brother,Is,homework,3,cleft sentences
3,The manager decide to close the shop.,The manager's decision was to close the shop.,close,The,decide,the,3,nominalization
3,She got her car repair last week.,She got her car repaired last week.,last,week,repair,She,3,have something done
3,"He shouldn't be late, should he not?","He shouldn't be late, should he?",late,not,shouldn't,be,2,question tags (advanced nuance)
3,"If she would have seen him, she would have told him.","If she had seen him, she would have told him.",she,seen,would,him,3,third conditional
3,"I went to the party, and so did my friends go.","I went to the party, and so did my friends.",go,my,the,and,1,ellipsis/substitution
3,"My father, which is a doctor, works at the hospital.","My father, who is a doctor, works at the hospital.",which,My,is,hospital,1,relative clauses (non-defining)
3,It's important that he goes to the meeting.,It's important that he go to the meeting.,that,It's,goes,important,3,subjunctive mood
3,They will arrive before the meeting starts.,They will have arrived before the meeting starts.,the,They,starts,arrive,4,future perfect
3,He didn't go to work he was feeling sick.,He didn't go to work because he was feeling sick.,to,he,He,was,2,compound/complex sentences
3,I wish I didn't bought that expensive phone.,I wish I hadn't bought that expensive phone.,wish,bought,didn't,I,2,wish/if only (regrets)
3,"If they hadn't missed the bus, they are here now.","If they hadn't missed the bus, they would be here now.",now,are,the,they,2,mixed conditionals
3,The house build last year is very modern.,The house built last year is very modern.,is,year,modern,build,4,passive voice (all tenses)
4,If only I didn't forgot his birthday.,If only I hadn't forgotten his birthday.,If,didn't,forgot,I,3,wish/if only (regrets)
4,"If we would have left earlier, we wouldn't have missed the train.","If we had left earlier, we wouldn't have missed the train.",would,earlier,train,the,1,third conditional
4,He didn't go to work he was feeling sick.,He didn't go to work because he was feeling sick.,He,feeling,go,he,4,compound/complex sentences
4,"I went to the party, and so did my friends go.","I went to the party, and so did my friends.",and,went,go,party,3,ellipsis/substitution
4,"If I was you, I would apologize.","If I were you, I would apologize.",you,was,I,apologize,2,subjunctive mood
4,The car was repair by the mechanic.,The car was repaired by the mechanic.,car,was,by,repair,4,passive voice (all tenses)
4,He will teach at the university for ten years next month.,He will have been teaching at the university for ten years next month.,teach,for,at,next,1,future perfect continuous
4,They denied to break the window.,They denied breaking the window.,the,window,to,denied,3,gerunds/infinitives (advanced)
4,"My brother, where lives in France, is coming tomorrow.","My brother, who lives in France, is coming tomorrow.",coming,in,France,where,4,relative clauses (non-defining)
4,"If I were taller, I would have played basketball.","If I had been taller, I would have played basketball.",played,If,were,taller,3,mixed conditionals
4,"Let's go to the cinema, will we?","Let's go to the cinema, shall we?",the,cinema,will,Let's,3,question tags (advanced nuance)
4,He used to playing football every weekend.,He used to play football every weekend.,used,every,football,playing,4,used to/be used to/get used to
5,The house build last year is very modern.,The house built last year is very modern.,year,build,very,is,2,passive voice (all tenses)
5,"If she would have seen him, she would have told him.","If she had seen him, she would have told him.",have,seen,If,would,4,third conditional
5,"By this time next year, I will finish my degree.","By this time next year, I will have finished my degree.",year,this,By,finish,4,future perfect
5,She got her car repair last week.,She got her car repaired last week.,last,repair,got,car,2,have something done
5,"Walking down the street, the rain started to fall.","While I was walking down the street, the rain started to fall.",started,Walking,down,fall,2,participle clauses
5,She had been work at the company for two years before she left.,She had been working at the company for two years before she left.,left,work,had,two,2,past perfect continuous
5,She said she is leaving tomorrow.,She said she was leaving the next day.,She,is,tomorrow,leaving,2,reported speech (advanced)
5,"My father, which is a doctor, works at the hospital.","My father, who is a doctor, works at the hospital.",which,a,works,father,1,relative clauses (non-defining)
5,If only I didn't forgot his birthday.,If only I hadn't forgotten his birthday.,only,birthday,didn't,forgot,4,wish/if only (regrets)
5,She suggested that he studies more.,She suggested that he study more.,more,suggested,She,studies,4,subjunctive mood
5,I am used to wake up early.,I am used to waking up early.,up,used,wake,I,3,used to/be used to/get used to
5,"If I were taller, I would have played basketball.","If I had been taller, I would have played basketball.",If,basketball,were,taller,3,mixed conditionals
6,You should study harder for the exam last year.,You should have studied harder for the exam last year.,study,harder,You,should,1,modal verbs in the past
6,She will pass all her exams by June.,She will have passed all her exams by June.,her,She,pass,June,3,future perfect
6,I am used to wake up early.,I am used to waking up early.,used,to,up,wake,4,used to/be used to/get used to
6,Is John who called you last night.,It is John who called you last night.,who,called,Is,John,3,cleft sentences
6,He do eat vegetables every day.,He does eat vegetables every day.,He,eat,do,vegetables,3,emphasis with do/does/did
6,She arrive early surprised everyone.,Her arrival early surprised everyone.,early,arrive,everyone,She,2,nominalization
6,"Walking down the street, the rain started to fall.","While I was walking down the street, the rain started to fall.",started,fall,Walking,rain,3,participle clauses
6,"My father, which is a doctor, works at the hospital.","My father, who is a doctor, works at the hospital.",My,the,a,which,4,relative clauses (non-defining)
6,"If we would have left earlier, we wouldn't have missed the train.","If we had left earlier, we wouldn't have missed the train.",earlier,would,missed,have,2,third conditional
6,The report will written by Tom tomorrow.,The report will be written by Tom tomorrow.,report,written,Tom,by,2,passive voice (all tenses)
6,He said he will call me when he arrives.,He said he would call me when he arrived.,He,when,me,will,4,reported speech (advanced)
6,"Let's go to the cinema, will we?","Let's go to the cinema, shall we?",we,will,to,the,2,question tags (advanced nuance)
7,The house build last year is very modern.,The house built last year is very modern.,last,build,is,year,2,passive voice (all tenses)
7,He used to playing football every weekend.,He used to play football every weekend.,football,to,weekend,playing,4,used to/be used to/get used to
7,If only I didn't forgot his birthday.,If only I hadn't forgotten his birthday.,his,If,didn't,forgot,4,wish/if only (regrets)
7,I had my hair cutted yesterday.,I had my hair cut yesterday.,had,I,cutted,yesterday,3,have something done
7,She suggested that he studies more.,She suggested that he study more.,studies,more,She,that,1,subjunctive mood
7,He said he will call me when he arrives.,He said he would call me when he arrived.,arrives,He,me,will,4,reported speech (advanced)
7,"If we would have left earlier, we wouldn't have missed the train.","If we had left earlier, we wouldn't have missed the train.",If,we,missed,would,4,third conditional
